sample_name	filename	ATTRIBUTE_locationcell	ATTRIBUTE_dna_conc	ATTRIBUTE_sample_type	ATTRIBUTE_sample_type2	ATTRIBUTE_host_life_stage	ATTRIBUTE_host_subject_id	ATTRIBUTE_pseudosample_id	ATTRIBUTE_storage_solution	ATTRIBUTE_host_body_mass_index	ATTRIBUTE_extraction_protocol
P3_A1.mzML	P3_A1.mzML	A1	6.448	feces	human_feces	adult	A	Plate 3 HBM_human_feces_A_etoh_Matrix	etoh	not applicable	Matrix
P3_A10.mzML	P3_A10.mzML	A10	32.106	feces	mouse_feces	adult	mouse1	Plate 3 HBM_mouse_feces_mouse1_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_A11.mzML	P3_A11.mzML	A11	6.507	feces	mouse_feces	adult	mouse2	Plate 3 HBM_mouse_feces_mouse2_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_A12.mzML	P3_A12.mzML	A12	3.158	feces	mouse_feces	adult	mouse3	Plate 3 HBM_mouse_feces_mouse3_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_A2.mzML	P3_A2.mzML	A2	1.285	saliva	human_saliva_before_brushing	adult	A	Plate 3 HBM_human_saliva_before_brushing_A_etoh_Matrix	etoh	not applicable	Matrix
P3_A3.mzML	P3_A3.mzML	A3	1.011	saliva	human_saliva_after_brushing	adult	A	Plate 3 HBM_human_saliva_after_brushing_A_etoh_Matrix	etoh	not applicable	Matrix
P3_A4.mzML	P3_A4.mzML	A4	6.178	feces	human_feces	adult	B	Plate 3 HBM_human_feces_B_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_A5.mzML	P3_A5.mzML	A5	3.403	feces	human_feces	adult	C	Plate 3 HBM_human_feces_C_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_A6.mzML	P3_A6.mzML	A6	1.143	saliva	human_saliva_before_brushing	adult	C	Plate 3 HBM_human_saliva_before_brushing_C_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_A8.mzML	P3_A8.mzML	A8	0.908	saliva	human_saliva_before_brushing	adult	D	Plate 3 HBM_human_saliva_before_brushing_D_etoh_Matrix	etoh	not applicable	Matrix
P3_A9.mzML	P3_A9.mzML	A9	1.153	saliva	human_saliva_after_brushing	adult	D	Plate 3 HBM_human_saliva_after_brushing_D_etoh_Matrix	etoh	not applicable	Matrix
P3_B1.mzML	P3_B1.mzML	B1	5.376	feces	human_feces	adult	A	Plate 3 HBM_human_feces_A_etoh_Matrix	etoh	not applicable	Matrix
P3_B10.mzML	P3_B10.mzML	B10	36.24	feces	mouse_feces	adult	mouse1	Plate 3 HBM_mouse_feces_mouse1_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_B11.mzML	P3_B11.mzML	B11	2.347	feces	mouse_feces	adult	mouse2	Plate 3 HBM_mouse_feces_mouse2_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_B12.mzML	P3_B12.mzML	B12	7.026	feces	mouse_feces	adult	mouse4	Plate 3 HBM_mouse_feces_mouse4_etoh_Matrix	etoh	not applicable	Matrix
P3_B2.mzML	P3_B2.mzML	B2	1.405	saliva	human_saliva_before_brushing	adult	A	Plate 3 HBM_human_saliva_before_brushing_A_etoh_Matrix	etoh	not applicable	Matrix
